commodity,exchange,report_date,contract_spec,subreport,open_interest,change_open_interest,change_prod_long,change_prod_short,change_swap_long,change_swap_short,change_swap_spreading,change_mm_long,change_mm_short,change_mm_spreading,change_other_long,change_other_short,change_other_spreading,prod_long,prod_short,swap_long,swap_short,swap_spreading,mm_long,mm_short,mm_spreading,other_long,other_short,other_spreading,traders_prod_long,traders_prod_short,traders_swap_long,traders_swap_short,traders_swap_spreading,traders_mm_long,traders_mm_short,traders_mm_spreading,traders_other_long,traders_other_short,traders_other_spreading,largest_gross_4_long,largest_gross_4_short,largest_gross_8_long,largest_gross_8_short,largest_net_4_long,largest_net_4_short,largest_net_8_long,largest_net_8_short
CME MILK IV,CHICAGO MERCANTILE EXCHANGE,"July 29, 2025",,Other,0,998,604,286,519,0,-5,22,369,6,-74,469,-47,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SOYBEANS,CHICAGO BOARD OF TRADE,"July 29, 2025",,All,852812,-45193,-4046,-42555,8006,194,-868,-11416,22465,-24716,-7913,5023,-5364,311514,408927,138467,13144,19809,106822,131594,95200,55970,41982,78478,164,165,30.0,12.0,27.0,55.0,74.0,69.0,58.0,70.0,71.0,12.9,16.1,22.8,26.0,11.3,13.5,18.3,19.3
SOYBEANS,CHICAGO BOARD OF TRADE,"July 29, 2025",,Old,13035,-45193,-4046,-42555,8006,194,-868,-11416,22465,-24716,-7913,5023,-5364,10124,7277,70,87,0,0,107,0,1012,4404,0,32,35,,,0.0,0.0,,0.0,5.0,15.0,0.0,68.5,51.1,77.9,69.3,63.9,50.2,72.0,65.6
SOYBEANS,CHICAGO BOARD OF TRADE,"July 29, 2025",,Other,839777,-45193,-4046,-42555,8006,194,-868,-11416,22465,-24716,-7913,5023,-5364,301390,401650,138461,13121,19745,106829,131494,95193,60223,42843,73213,160,164,30.0,12.0,27.0,55.0,74.0,69.0,64.0,68.0,69.0,13.0,16.2,22.8,25.8,11.5,13.8,18.5,20.3
SOYBEAN OIL,CHICAGO BOARD OF TRADE,"July 29, 2025",,All,637235,3212,-7324,2692,46,3399,-2889,6519,-1405,4893,3608,990,-5656,149120,349071,111430,14938,14988,104530,42422,108328,49340,24392,55526,78,89,24.0,7.0,15.0,74.0,36.0,59.0,47.0,30.0,45.0,9.1,22.1,15.8,30.4,8.0,18.5,13.9,23.8
SOYBEAN OIL,CHICAGO BOARD OF TRADE,"July 29, 2025",,Old,102431,3212,-7324,2692,46,3399,-2889,6519,-1405,4893,3608,990,-5656,59281,62648,5946,6992,0,24708,13292,254,6235,13812,247,50,59,13.0,8.0,0.0,25.0,20.0,7.0,21.0,20.0,,26.6,21.0,44.0,34.2,25.9,19.9,43.3,33.1
SOYBEAN OIL,CHICAGO BOARD OF TRADE,"July 29, 2025",,Other,534804,3212,-7324,2692,46,3399,-2889,6519,-1405,4893,3608,990,-5656,89839,286423,108895,11357,11577,101441,50749,86455,49710,17185,48674,65,83,24.0,6.0,13.0,68.0,40.0,48.0,47.0,31.0,41.0,9.2,25.4,16.7,35.1,8.5,24.3,14.9,31.0
SOYBEAN MEAL,CHICAGO BOARD OF TRADE,"July 29, 2025",,All,17652,894,784,-43,0,497,0,130,0,0,0,440,0,12768,8421,78,4809,760,2754,0,180,1072,3432,40,8,8,,6.0,,,0.0,,,7.0,,66.7,49.9,89.1,76.0,54.9,33.2,65.8,50.0
SOYBEAN MEAL,CHICAGO BOARD OF TRADE,"July 29, 2025",,Old,17652,894,784,-43,0,497,0,130,0,0,0,440,0,12768,8421,78,4809,760,2754,0,180,1072,3432,40,8,8,,6.0,,,0.0,,,7.0,,66.7,49.9,89.1,76.0,54.9,33.2,65.8,50.0
SOYBEAN MEAL,CHICAGO BOARD OF TRADE,"July 29, 2025",,Other,0,894,784,-43,0,497,0,130,0,0,0,440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CANOLA,ICE FUTURES U.S.,"July 29, 2025",,All,224873,-1085,-2092,6386,-1220,256,-4,5105,-3965,-2191,-97,-1105,-1285,62867,143830,6830,14667,164,110280,15145,21317,11733,17607,9512,32,62,7.0,4.0,,72.0,22.0,23.0,44.0,63.0,30.0,26.8,26.0,38.9,43.6,26.6,24.7,37.3,41.4
CANOLA,ICE FUTURES U.S.,"July 29, 2025",,Old,223118,-1085,-2092,6386,-1220,256,-4,5105,-3965,-2191,-97,-1105,-1285,61581,142883,6830,14101,164,110280,15148,21314,11738,17839,9070,30,62,7.0,4.0,,72.0,22.0,23.0,44.0,62.0,28.0,26.8,25.9,38.9,43.7,26.5,24.7,37.3,41.6
